,userId,reviewId
0,10,100
1,8,976
2,32,73
3,31,1943
4,17,627
5,22,1580
6,16,157
7,26,1633
8,39,1841
9,31,1399
10,10,356
11,38,1512
12,35,101
13,30,979
14,23,88
15,40,607
16,47,1134
17,30,503
18,18,2066
19,35,1577
20,5,1004
21,31,1920
22,0,40
23,11,340
24,10,740
25,48,411
26,32,258
27,37,1128
28,20,439
29,35,317
30,6,914
31,31,658
32,5,2105
33,28,1664
34,28,1916
35,42,726
36,29,711
37,20,450
38,19,1623
39,39,1069
40,8,786
41,12,1625
42,38,1402
43,0,624
44,29,1109
45,44,1148
46,46,2019
47,25,1429
48,3,4
49,48,970
50,39,256
51,3,1924
52,16,92
53,46,2074
54,27,1720
55,7,669
56,2,469
57,28,1329
58,49,609
59,6,928
60,24,967
61,20,2208
62,0,811
63,35,1300
64,45,2153
65,0,433
66,29,1998
67,34,1626
68,34,1034
69,23,22
70,30,1313
71,21,2045
72,19,334
73,4,1868
74,43,423
75,26,595
76,10,341
77,11,275
78,0,722
79,33,1220
80,26,439
81,17,1652
82,6,980
83,49,2109
84,43,1654
85,18,2060
86,40,1664
87,20,2137
88,27,974
89,17,256
90,14,1590
91,40,182
92,48,356
93,37,504
94,31,1764
95,44,527
96,33,1827
97,29,1247
98,21,1228
99,7,1372
100,42,1102
101,48,2094
102,37,161
103,7,1598
104,48,1182
105,25,526
106,38,1016
107,12,1067
108,31,1610
109,22,1570
110,9,2173
111,49,115
112,40,2207
113,17,1802
114,17,811
115,26,147
116,22,1984
117,36,327
118,24,871
119,27,1700
120,41,1647
121,5,708
122,23,1283
123,32,1259
124,7,1117
125,15,934
126,27,384
127,2,926
128,10,1301
129,47,876
130,41,1810
131,42,525
132,32,655
133,2,310
134,37,139
135,20,153
136,31,342
137,4,2008
138,1,728
139,48,1304
140,16,0
141,18,1055
142,31,197
143,48,670
144,30,343
145,24,1127
146,45,738
147,18,803
148,25,398
149,3,471
150,14,2056
151,27,1711
152,41,2211
153,1,176
154,0,368
155,15,1615
156,41,130
157,32,1564
158,23,574
159,10,2042
160,20,757
161,16,420
162,17,2004
163,41,1237
164,29,1008
165,42,743
166,46,387
167,15,985
168,23,803
169,17,1919
170,3,1329
171,6,1119
172,40,82
173,8,2090
174,19,1783
175,49,954
176,3,192
177,45,122
178,35,1637
179,7,778
180,23,662
181,21,2195
182,33,1306
183,41,1105
184,5,1203
185,2,972
186,12,443
187,3,1369
188,13,450
189,43,1548
190,8,294
191,39,593
192,45,1230
193,43,2205
194,7,336
195,6,1398
196,41,1617
197,32,1589
198,32,1897
199,37,1691
200,2,1222
201,6,2015
202,44,219
203,27,706
204,38,1329
205,4,1589
206,46,1459
207,44,1784
208,11,243
209,34,374
210,2,144
211,7,743
212,37,803
213,40,632
214,0,1945
215,13,1814
216,3,331
217,13,1238
218,33,2219
219,41,346
220,24,1432
221,37,1342
222,36,937
223,9,1959
224,21,1433
225,40,983
226,31,1015
227,33,1728
228,29,1334
229,30,453
230,22,199
