reivewId,content,image,star
0,"웨이팅이 좀 있어요 유명한곳이라 웨이팅하는 곳도 있어서 편히 기다릴수 있어요
주차는 재주껏 해야 합니다
직원분이 구워 주시고요 직원분마다 차이가 있어요..…",https://lh5.googleusercontent.com/p/AF1QipPo2Telj_8dGpZouW8YD5yq0oF42JFrdWQUfaZY=w375-h281-p-k-no,5
0,돼지갈비가 담백하고 먹는방법에 따라 다른 맛이 납니다. 직원분들이 알맞게 구워주어 편하게 먹고 왔습니다. 주차장이 없는것과 연기가 나는게 조금 아쉬웠네요,https://lh5.googleusercontent.com/p/AF1QipPo9Lhpwkjmap_FJaQc-_gcRhV-aByeYe-G6Mxq=w375-h563-p-k-no,5
0,"5시땡하고 드갔더니 아슬아슬하게 웨이팅
피했네요. 심지어 평일이요. .하하
생돼지갈비라 삼겹살같으면서도 맛있습니다!…",https://lh5.googleusercontent.com/p/AF1QipMcPYhHei8lEQvDQ38ONodX1yHan_1uCUsu53wS=w375-h563-p-k-no,5
0,"일요일이라 12시에 딱 갔는데도 웨이팅했네요. 1시간 조금 넘게 기다려서 들어갔습니다.
가게 앞 번호적힌 포스트잇 가져가서 가게 옆 대기실에서 기다리면 됩니다.
일요일이라 도로에 주차가능하다 하여 가게 바로 앞에 주차했네요.…",https://lh5.googleusercontent.com/p/AF1QipNBegFF6_fVyMoQ0L3dnKl4VJqKmwyczPj2iTkn=w375-h563-p-k-no,4
0,생갈비가 진짜 맛있네요 육즙도 가득이고 젓갈비빔밥도 맛있습니다. 일하시는분들도 친절하시고 재방문 하고싶어요,https://lh5.googleusercontent.com/p/AF1QipMYa8bgqGLhSysdXIAAial78a3bueedd_TNsViX=w375-h563-p-k-no,5
1,맛있어요 ^^,https://lh5.googleusercontent.com/p/AF1QipMYa8bgqGLhSysdXIAAial78a3bueedd_TNsViX=w375-h563-p-k-no,3
1,맛있어요 ^^,https://lh5.googleusercontent.com/p/AF1QipMYa8bgqGLhSysdXIAAial78a3bueedd_TNsViX=w375-h563-p-k-no,1
1,맛있어요 ^^,https://lh5.googleusercontent.com/p/AF1QipMYa8bgqGLhSysdXIAAial78a3bueedd_TNsViX=w375-h563-p-k-no,1
3,오랜만에 갔더니 좌식에서 좌석도 다바뀌었더라구요 맛은 여전합니다. ^^ 1인분에 닭한마리씩 크게 들어가 있는 얼큰하고 끝내주는 칼국수와 바삭하고 해물 잔뜩인 파전은 그야말로 끝장입니다. 어렸을때 갔던 맛이랑 똑같습니다.,https://lh5.googleusercontent.com/p/AF1QipOmPW9hIuL3PJUuxqYnP33NUl5k4C3jC_DOKWK0=w375-h563-p-k-no,5
3,"조개 닭 둘다 얼큰으로 드세요 파전도 드세요 존맛탱입니다.
집가까우면  하루에 한번씩갈텐데... 영동도살아서 너무 아쉬워  강려크하게추천",https://lh5.googleusercontent.com/p/AF1QipMXKdy6dsXKDkbd_siOHdc2c9gl2dTNuBqfLw89=w375-h563-p-k-no,5
3,"이곳이 종로점이 있다면 닭한마리는 육해공생칼국수 승!
3인분이면 닭이 세마리입니다.
국물이 인위적으로 진하지 않아 오히려 깔끔하니 좋습니다.",https://lh5.googleusercontent.com/p/AF1QipMAUgzanCH89ZWkMgsHe8iZQIeeejab6sVWNdQk=w375-h281-p-k-no,5
3,여기에 식당 있으면 항상 망했었는데 간만에 맛있는 집 하나 생긴것 같네요. 오래오래 장사하기를 바랍니다.,https://lh5.googleusercontent.com/p/AF1QipMAUgzanCH89ZWkMgsHe8iZQIeeejab6sVWNdQk=w375-h281-p-k-no,5
3,양이 엄청 많아요 1인분 주문하고 사이드 메뉴로 파전이나 만두를 주문하세요 닭한마리 2인분 시켰으면 다 못먹었을 뻔... 엄청 맛있고 사람들이 많아서 씨끄럽습니다만 엄청 맛있음... 주차장은 따로 없는거 같으니 알아서 해야할 문제 ㅠㅜ,https://lh5.googleusercontent.com/p/AF1QipPbIw9ASKTRiEsKgA6XkK5NXZrv19Qhx1OrVtT-=w375-h281-p-k-no,5
4,"맛과 건강을 한번에 볼 수 있으며 흔치않은 음식이라 생일, 모임등 특별한날 모두 좋을거같아요",https://lh5.googleusercontent.com/p/AF1QipMFRcjF3yLTblDxcD7_w1A3-gNVRwBrUVzbJbSz=w750-h563-p-k-no,5
4,"가운데는 홀이고 홀 양쪽으로는 조용한 룸이 있는 식당이예요.
가격면에서도 좋고 특히 제가 좋아하는 조용한 곳이라 누군가의 방해없이 여유있게 식사를 즐겼던 곳이네요.
지하와 지상에 주차장이 있어 주차가 용이하며 특히 지하주차장에 주차를 하면 지하엘리베이터와 지상엘리베이터가 연결되어있어 비나 눈이와도 걱정이…",https://lh5.googleusercontent.com/p/AF1QipM47q1PSSUTdKQ6j0zvddIhud0euGPpRlug3hBV=w375-h281-p-k-no,5
4,"전복 맛을 재대로 구경할수 있는 곳
주차장도 았어서 좋다",https://lh5.googleusercontent.com/p/AF1QipMJGqzJcEg7t_TALtuXZmXFtAuhOA4aarOOL1pE=w375-h281-p-k-no,3
4,깔끔하고 단독룸에 아기의자까지 준비해주셔서 너무 편하게 아기랑 밥 먹을수 있었어요. 음식도 평일 런지 15000원도 안되는 가격에 하나같이 정갈하고 너무 맛있어서 남는게 있나 할 정도로ㅠㅠ 별5개 무조건입니다!,https://lh5.googleusercontent.com/p/AF1QipMJGqzJcEg7t_TALtuXZmXFtAuhOA4aarOOL1pE=w375-h281-p-k-no,5
4,"인천 구월동 예술회관 쪽에 위치해 있으며, 당연히 주차시설 있습니다. 홀 도 있고 룸 도 있는데 룸 은 약간 일본식 타다미방 이랑 비슷하고 안락했습니다. 음식맛 은 달지도 짜지도 않았고 딱 먹기좋았고, 세팅 해주시는 직원분들도 연말인데도 불구하고 매우 친절하게 대해주셨습니다.
직장인 인 제 기준에서 가격대도 엄청 부담스럽거나 한 금액도 아니었고, 조만간 부모님 뫼시고 다시 갈 예정입니다.
다양한 회 와 음식을 드시고 싶으신분들은 강추입니다^^",https://lh5.googleusercontent.com/p/AF1QipOjFCn0nWIPN5bhhL4MSsl3GqTUnSbWQYtTkH0x=w375-h281-p-k-no,5
5,"화덕피자가 아주 맛있고 파스타도 다양하여
이탈리안 음식을 제대로 맛볼수 있는곳입니다
다만 주차장이 없는것이 너무 아쉽네요",https://lh5.googleusercontent.com/p/AF1QipMZVMNr9-MWLBC40N4PMCZ7SdhAZXTLVW-Kji82=w375-h563-p-k-no,5
5,"화덕피자 먹으러 방문했는데 브레이크 타임이 딱히 없어서 오후 3시쯤인데도 손님이 많더라구요! 꽈뜨로 포르마지오랑 할라피뇨 스테이크 라이스를 주문해서 기다렸는데, 식전빵으로 화덕에 빵이 구워져서 따끈하게 먹을 수 있었어요. 오일에 마늘이 들어간 소스같은걸 같이 내어주셨는데 발사믹이 아니라 신기했는데 맛있었어요ㅎㅎ피자는 그냥 치즈가 많이 올라간 고르곤졸라같은 느낌이었고 꿀 찍어먹으니 맛있었어요😀 할라피뇨 라이스는 생각보다 짭짤했는데 그래서 더 맛있었던거 같아요. 그 위에 스테이크는 좀 오버쿡되었는지 퍽퍽하긴 했는데 밥은 맛있었어요😍 직원들도 친절하고 좋았습니당!…",https://lh5.googleusercontent.com/p/AF1QipOEmF-Ub4JCtUYXfVYhlX8jbLyJaF0_cgypyDmz=w375-h281-p-k-no,5
5,"식전 빵 쫄깃하고 너무 맛있어요
리조또, 파스타, 피자 주문했는데 리조또는 그냥 리조또였고 사진에 저 크랩파스타 너무 맛있었어요 모든 메뉴에 맵기선택 가능하다고 봤는데 파스타 조금 맵게해서 먹었으면 최고였을거 같네요…",https://lh5.googleusercontent.com/p/AF1QipO6YGfSAKmyOUS7eOEMXdtIyTIPkkX4uZg1LNNU=w375-h563-p-k-no,5
5,"점심에 갔는데 조용하고 평화로움.
음식은 당연하고, 라자냐는 살짝 다음엔 안시킬거 같지만 맛은 있음.",https://lh5.googleusercontent.com/p/AF1QipMYRX1Ne8SzpwOLlvC6GRRv43Dhua1AXSJIibTM=w375-h281-p-k-no,5
5,"쏘쏘
평범해요
음식도 평범하고 분위기도..
문 활짝 열어둔건 좋은데 파리가 겁나 날아댕겨유",https://lh5.googleusercontent.com/p/AF1QipNocjQqzvw7tHkOpqQ6eQ2dau82eIglQPfJNfIS=w375-h281-p-k-no,3
6,"맛있어요.. 괜히 줄서는곳이 아닙니다
매콤맛은 정말 매운데 캡사이신 이런게 아니라 청양고추로 맛을낸거라 맵긴 하지만 속이 쓰리진 않습니다(사장님 피셜)
게다가 여기는 메뉴판..(주문 내역 적는 종이)이 컬러예요…",https://lh5.googleusercontent.com/p/AF1QipNocjQqzvw7tHkOpqQ6eQ2dau82eIglQPfJNfIS=w375-h281-p-k-no,5
6,다른 식당에선 등갈비를 맛있게 먹어본 적이 없는데 여기 등갈비는 정말 맛있네요.,https://lh5.googleusercontent.com/p/AF1QipPlPXumoaLUbLemFvpVv97m3jCYRl3vQxUX_Hgm=w375-h281-p-k-no,5
6,"멘토인 대리님과 점심을 먹었습니다.
돼지 등갈비 그냥 2인분과 양념 1인분을 먹었는데
양념은 매운 거 못 드시는 분께는 비추입니다.
가격은 비쌌지만 맛있었어요!",https://lh5.googleusercontent.com/p/AF1QipPLtMRIXL25GAFZhZlFXcHBjqbg7sJAtBhd0ztV=w750-h563-p-k-no,4
6,"★3.3 등갈비집. 개인적으로 그냥 등갈비라는 음식이 별로인듯. 만족도가 높지않고 너무 낮음. 양은 적고 값은 비싸고 돈버린 느낌. 맛은 없진않지만 특별함도 없는듯. 차라리 항정살을 많이 드시길, 이건 맛있음 쫄깃쫄깃하고 촉촉한게. 등갈비는 뭐그냥 등갈비 맛. 양념등갈비는 좀 매콤한편(맵찌리는 비추천).",https://lh5.googleusercontent.com/p/AF1QipNhUZKP96eAaQkASVKRsd3TC2kZ6KtfUtGgLEHa=w375-h281-p-k-no,3
6,술안주로는 괜찮다고는 생각하지만 식사로는 뭔가 많이 부족하게 느껴진다. 같은가격대의 송도갈매기와 비교한다면 반찬 고기등의 퀄이 상상이상으로 차이가나네...본전생각나요ㅜㅜ,https://lh5.googleusercontent.com/p/AF1QipN3L3ticbAG0lV1joAgIfe-4m0YWfiw4wLDdmkY=w750-h563-p-k-no,3
7,"인천 3대 떡볶이 라고해서 방문하였습니다.

평일 두시에 방문인데도 대기가 있네요.…",https://lh5.googleusercontent.com/p/AF1QipMFJfWMHnKEyO37JVZoI1X9fibTzcC0wvLVI4nA=w375-h281-p-k-no,4
7,평일 오후 1시50분 도착했는제 앞에 12팀있었고 20분정도 기다리고 들어갔습니다 가격이 저렴해서 메리트있고 쫄면이 진짜 맛있어요 사장님 친절하심,https://lh5.googleusercontent.com/p/AF1QipOP-uhRh2SjzCgbdsUU7g5M5N1_5KUN3Cawv6ED=w375-h281-p-k-no,5
7,"맛집이라고해서 방문했는데 떡은 쫄깃쫄깃하고
맛있었고.순대랑 간도 신선했지만 또 방문 해야지 너무 맛있다 정도는 아니였어요. 그냥 괜찮았어요.가격은 착한편입니다.",https://lh5.googleusercontent.com/p/AF1QipOxUSM8uH-BLOLrfG6qjrJcJ_eHAJmzrOKj6mGl=w375-h563-p-k-no,4
7,"레트로 느낌 분식집
무료주차장 바로 앞
가격 좋고 맛나요…",https://lh5.googleusercontent.com/p/AF1QipMru20gxDlAD9PdXmeam3kHmifHBMp9kgFH2Ycn=w375-h281-p-k-no,5
7,"떡1, 쫄1, 김밥1, 계란2 딱 만원 나왔어요 ^^
인천에서는 유명한 떡볶이인데 이제서야 먹어봤네요.
원래 좋아하는 떡볶이는 경상도 스타일 진득하고 쌀떡스타일을 좋아해서 시도도 안했던 거 같아요.…",https://lh5.googleusercontent.com/p/AF1QipMgO1q4uxZW9FVZEhUgthkHS3SEJM3sKjtCBU7j=w750-h563-p-k-no,5
8,"맛집으로 소문나서 다녀왔습니다.
콩국수 먹었는데, 면도 너무 쫄깃하고 콩국물도 찐뜩하면서 엄청 고소하네요~ 두부도 밑반찬으로 나오는데, 고소하고 부드럽습니다. 꼭 한 번 방문해야하는 맛집이라고 생각합니다.",https://lh5.googleusercontent.com/p/AF1QipP8Af_7Jwoh0SJwUAkjEYbpH56DKpdNKhZvYsAq=w375-h281-p-k-no,5
8,옛날식당 느낌이 나면서도 편하게 식사할 수 있는 곳입니다. 주차는 알아서 느낌적으로다가 하셔야합니다. 콩국수랑 순두부 먹었는데 반찬이 더 맛있습니다. 콩국수는 칼국수면이 두터워서 그런지 콩국이랑 따로 도는 듯 한 느낌이 듭니다. 1순두부는 순두부와 새우만 있습니다. 그래도 맛응 준수한 편입니다.…,https://lh5.googleusercontent.com/p/AF1QipN06DHxhJpBqWop_GRvKf-6j0jxwRa0ieORQ44C=w375-h281-p-k-no,4
8,"평일 12시반에 방문했는데 대기가 있어 15분 기다려 들어갔습니다.
콩국수 참 시원하고 맛있었요.
재료가 부족한지 중간에 판매중단을 하더군요.
참 상호도 ""삼만시""로 변경됐어요.",https://lh5.googleusercontent.com/p/AF1QipN06DHxhJpBqWop_GRvKf-6j0jxwRa0ieORQ44C=w375-h281-p-k-no,4
8,"유명한집이네요.
두부는 대공원에 재현할매집만 다녔는데,
집근처에도 줄서서먹는집이 있다고하여 와 봤습니다.…",https://lh5.googleusercontent.com/p/AF1QipM4Kyh434vqwImVd1m-Z3mfJOZVOTyDwGSfQigW=w375-h563-p-k-no,3
8,"맛있습니다.
좋은 재료를 사용해서 음식을 만드는 것 같습니다.
친절합니다. 주문음식 조절 가능한 것도 많고 밑반찬 리필도 싫은 내색 없네요.
가격은 착하다고 하기 힘들어요. 좋은 음식 적당한 가격에 먹는다고 생각합니다.",https://lh5.googleusercontent.com/p/AF1QipM4Kyh434vqwImVd1m-Z3mfJOZVOTyDwGSfQigW=w375-h563-p-k-no,4
